fpl_id,understat_id,h_fpl,a_fpl,h_understat,a_understat
280,29057,Wolves,Aston Villa,Wolverhampton Wanderers,Aston Villa
281,29059,Aston Villa,Chelsea,Aston Villa,Chelsea
282,29058,Bournemouth,Brentford,Bournemouth,Brentford
283,29060,Brighton,Arsenal,Brighton,Arsenal
284,29061,Everton,Burnley,Everton,Burnley
285,29062,Fulham,West Ham,Fulham,West Ham
286,29063,Leeds,Sunderland,Leeds,Sunderland
287,29064,Man City,Nott'm Forest,Manchester City,Nottingham Forest
288,29065,Newcastle,Man Utd,Newcastle United,Manchester United
289,29066,Spurs,Crystal Palace,Tottenham,Crystal Palace
290,29067,Wolves,Liverpool,Wolverhampton Wanderers,Liverpool
291,29068,Arsenal,Everton,Arsenal,Everton
292,29069,Brentford,Wolves,Brentford,Wolverhampton Wanderers
293,29070,Burnley,Bournemouth,Burnley,Bournemouth
294,29071,Chelsea,Newcastle,Chelsea,Newcastle United
295,29072,Crystal Palace,Leeds,Crystal Palace,Leeds
296,29073,Liverpool,Spurs,Liverpool,Tottenham
297,29074,Man Utd,Aston Villa,Manchester United,Aston Villa
298,29075,Nott'm Forest,Fulham,Nottingham Forest,Fulham
299,29076,Sunderland,Brighton,Sunderland,Brighton
300,29077,West Ham,Man City,West Ham,Manchester City
301,29079,Aston Villa,West Ham,Aston Villa,West Ham
302,29078,Bournemouth,Man Utd,Bournemouth,Manchester United
303,29080,Brighton,Liverpool,Brighton,Liverpool
304,29081,Everton,Chelsea,Everton,Chelsea
305,29082,Fulham,Burnley,Fulham,Burnley
306,29083,Leeds,Brentford,Leeds,Brentford
307,29084,Man City,Crystal Palace,Manchester City,Crystal Palace
308,29085,Newcastle,Sunderland,Newcastle United,Sunderland
309,29086,Spurs,Nott'm Forest,Tottenham,Nottingham Forest
310,29087,Wolves,Arsenal,Wolverhampton Wanderers,Arsenal
311,29092,Arsenal,Bournemouth,Arsenal,Bournemouth
312,29093,Brentford,Everton,Brentford,Everton
313,29094,Burnley,Brighton,Burnley,Brighton
314,29095,Chelsea,Man City,Chelsea,Manchester City
315,29096,Crystal Palace,Newcastle,Crystal Palace,Newcastle United
316,29097,Liverpool,Fulham,Liverpool,Fulham
317,29088,Man Utd,Leeds,Manchester United,Leeds
318,29089,Nott'm Forest,Aston Villa,Nottingham Forest,Aston Villa
319,29090,Sunderland,Spurs,Sunderland,Tottenham
320,29091,West Ham,Wolves,West Ham,Wolverhampton Wanderers
321,29098,Aston Villa,Sunderland,Aston Villa,Sunderland
322,29099,Brentford,Fulham,Brentford,Fulham
323,29100,Chelsea,Man Utd,Chelsea,Manchester United
324,29101,Crystal Palace,West Ham,Crystal Palace,West Ham
325,29102,Everton,Liverpool,Everton,Liverpool
326,29103,Leeds,Wolves,Leeds,Wolverhampton Wanderers
327,29104,Man City,Arsenal,Manchester City,Arsenal
328,29105,Newcastle,Bournemouth,Newcastle United,Bournemouth
329,29106,Nott'm Forest,Burnley,Nottingham Forest,Burnley
330,29107,Spurs,Brighton,Tottenham,Brighton
331,29109,Arsenal,Newcastle,Arsenal,Newcastle United
332,29108,Bournemouth,Leeds,Bournemouth,Leeds
333,29110,Brighton,Chelsea,Brighton,Chelsea
334,29111,Burnley,Man City,Burnley,Manchester City
335,29112,Fulham,Aston Villa,Fulham,Aston Villa
336,29113,Liverpool,Crystal Palace,Liverpool,Crystal Palace
337,29114,Man Utd,Brentford,Manchester United,Brentford
338,29115,Sunderland,Nott'm Forest,Sunderland,Nottingham Forest
339,29116,West Ham,Everton,West Ham,Everton
340,29117,Wolves,Spurs,Wolverhampton Wanderers,Tottenham
341,29119,Arsenal,Fulham,Arsenal,Fulham
342,29120,Aston Villa,Spurs,Aston Villa,Tottenham
343,29118,Bournemouth,Crystal Palace,Bournemouth,Crystal Palace
344,29121,Brentford,West Ham,Brentford,West Ham
345,29122,Chelsea,Nott'm Forest,Chelsea,Nottingham Forest
346,29123,Everton,Man City,Everton,Manchester City
347,29124,Leeds,Burnley,Leeds,Burnley
348,29125,Man Utd,Liverpool,Manchester United,Liverpool
349,29126,Newcastle,Brighton,Newcastle United,Brighton
350,29127,Wolves,Sunderland,Wolverhampton Wanderers,Sunderland
351,29128,Brighton,Wolves,Brighton,Wolverhampton Wanderers
352,29129,Burnley,Aston Villa,Burnley,Aston Villa
353,29130,Crystal Palace,Everton,Crystal Palace,Everton
354,29131,Fulham,Bournemouth,Fulham,Bournemouth
355,29132,Liverpool,Chelsea,Liverpool,Chelsea
356,29133,Man City,Brentford,Manchester City,Brentford
357,29134,Nott'm Forest,Newcastle,Nottingham Forest,Newcastle United
359,29136,Spurs,Leeds,Tottenham,Leeds
358,29135,Sunderland,Man Utd,Sunderland,Manchester United
360,29137,West Ham,Arsenal,West Ham,Arsenal
361,29139,Arsenal,Burnley,Arsenal,Burnley
362,29140,Aston Villa,Liverpool,Aston Villa,Liverpool
363,29138,Bournemouth,Man City,Bournemouth,Manchester City
364,29141,Brentford,Crystal Palace,Brentford,Crystal Palace
365,29142,Chelsea,Spurs,Chelsea,Tottenham
366,29143,Everton,Sunderland,Everton,Sunderland
367,29144,Leeds,Brighton,Leeds,Brighton
368,29145,Man Utd,Nott'm Forest,Manchester United,Nottingham Forest
369,29146,Newcastle,West Ham,Newcastle United,West Ham
370,29147,Wolves,Fulham,Wolverhampton Wanderers,Fulham
371,29148,Brighton,Man Utd,Brighton,Manchester United
372,29149,Burnley,Wolves,Burnley,Wolverhampton Wanderers
373,29150,Crystal Palace,Arsenal,Crystal Palace,Arsenal
374,29151,Fulham,Newcastle,Fulham,Newcastle United
375,29152,Liverpool,Brentford,Liverpool,Brentford
376,29153,Man City,Aston Villa,Manchester City,Aston Villa
377,29154,Nott'm Forest,Bournemouth,Nottingham Forest,Bournemouth
379,29156,Spurs,Everton,Tottenham,Everton
378,29155,Sunderland,Chelsea,Sunderland,Chelsea
380,29157,West Ham,Leeds,West Ham,Leeds
